month,genre1,genre2,genre3,genre4,genre5
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Crime,Thriller,#N/A,#N/A,#N/A
1,Comedy,#N/A,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Horror,Mystery,Thriller,#N/A,#N/A
1,Comedy,Family,Drama,#N/A,#N/A
1,Comedy,Mystery,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Adventure,Comedy,#N/A,#N/A,#N/A
1,Comedy,War,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Comedy,Drama,Melodrama/Romance,#N/A,#N/A
1,Adventure,Drama,Fantasy,#N/A,#N/A
1,Drama,Mystery,Melodrama/Romance,Thriller,#N/A
1,Comedy,Drama,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Action,Adventure,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Thriller,Drama,#N/A,#N/A,#N/A
1,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
1,Family,Comedy,#N/A,#N/A,#N/A
1,Comedy,#N/A,#N/A,#N/A,#N/A
1,Action,Drama,#N/A,#N/A,#N/A
1,Comedy,#N/A,#N/A,#N/A,#N/A
1,Action,#N/A,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,SF,Action,#N/A,#N/A,#N/A
1,Comedy,Drama,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Comedy,Melodrama/Romance,Drama,#N/A,#N/A
1,Comedy,#N/A,#N/A,#N/A,#N/A
1,Comedy,Crime,Drama,#N/A,#N/A
1,Comedy,Action,Drama,#N/A,#N/A
1,Action,Drama,Thriller,#N/A,#N/A
1,Action,Drama,#N/A,#N/A,#N/A
1,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
1,Action,Crime,Thriller,#N/A,#N/A
1,Adventure,Comedy,Family,Fantasy,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Action,#N/A,#N/A,#N/A,#N/A
1,Comedy,Family,Adventure,#N/A,#N/A
1,Action,Drama,War,#N/A,#N/A
1,Adventure,Drama,#N/A,#N/A,#N/A
1,Crime,Drama,#N/A,#N/A,#N/A
1,Drama,War,#N/A,#N/A,#N/A
1,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
1,Action,Crime,#N/A,#N/A,#N/A
1,Action,#N/A,#N/A,#N/A,#N/A
1,Crime,Drama,#N/A,#N/A,#N/A
1,Action,SF,Thriller,#N/A,#N/A
1,Adventure,SF,#N/A,#N/A,#N/A
1,Suspense,Drama,Melodrama/Romance,#N/A,#N/A
1,Action,Adventure,Fantasy,SF,#N/A
1,Comedy,Drama,#N/A,#N/A,#N/A
1,Action,SF,Thriller,#N/A,#N/A
1,Action,Adventure,#N/A,#N/A,#N/A
1,Comedy,#N/A,#N/A,#N/A,#N/A
1,Horror,Mystery,Thriller,#N/A,#N/A
1,Action,#N/A,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Comedy,#N/A,#N/A,#N/A,#N/A
1,Drama,#N/A,#N/A,#N/A,#N/A
1,Fantasy,Comedy,#N/A,#N/A,#N/A
1,Crime,Action,#N/A,#N/A,#N/A
1,Drama,Mystery,SF,Thriller,#N/A
2,Action,Drama,#N/A,#N/A,#N/A
2,Fantasy,Adventure,#N/A,#N/A,#N/A
2,Thriller,Mystery,#N/A,#N/A,#N/A
2,Action,Drama,#N/A,#N/A,#N/A
2,Horror,Thriller,#N/A,#N/A,#N/A
2,Mystery,SF,Thriller,#N/A,#N/A
2,Crime,Drama,Fantasy,Thriller,#N/A
2,Crime,#N/A,#N/A,#N/A,#N/A
2,Drama,Thriller,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Action,SF,Thriller,#N/A,#N/A
2,Drama,Thriller,Action,#N/A,#N/A
2,Action,Adventure,Drama,Thriller,#N/A
2,Comedy,Melodrama/Romance,#N/A,#N/A,#N/A
2,Crime,Drama,#N/A,#N/A,#N/A
2,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
2,Crime,Drama,#N/A,#N/A,#N/A
2,Action,Melodrama/Romance,Comedy,#N/A,#N/A
2,Thriller,Crime,#N/A,#N/A,#N/A
2,Comedy,#N/A,#N/A,#N/A,#N/A
2,Action,Drama,#N/A,#N/A,#N/A
2,Crime,Drama,#N/A,#N/A,#N/A
2,Action,Crime,Thriller,#N/A,#N/A
2,Adventure,Drama,Fantasy,#N/A,#N/A
2,Drama,Comedy,#N/A,#N/A,#N/A
2,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
2,Thriller,#N/A,#N/A,#N/A,#N/A
2,Adventure,Action,#N/A,#N/A,#N/A
2,Action,Comedy,Fantasy,#N/A,#N/A
2,Action,#N/A,#N/A,#N/A,#N/A
2,Action,Adventure,Drama,Melodrama/Romance,#N/A
2,Drama,Crime,#N/A,#N/A,#N/A
2,Action,Crime,SF,Thriller,#N/A
2,Drama,Comedy,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Action,#N/A,#N/A,#N/A,#N/A
2,Action,Thriller,#N/A,#N/A,#N/A
2,Comedy,Adventure,#N/A,#N/A,#N/A
2,Drama,Thriller,#N/A,#N/A,#N/A
2,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
2,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
2,SF,Action,Adventure,#N/A,#N/A
2,SF,Thriller,#N/A,#N/A,#N/A
2,Crime,Comedy,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Action,#N/A,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
2,Drama,Thriller,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Action,Crime,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Horror,Thriller,#N/A,#N/A,#N/A
2,Drama,SF,Thriller,#N/A,#N/A
2,Action,Fantasy,#N/A,#N/A,#N/A
2,Action,Adventure,Thriller,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Action,Drama,SF,#N/A,#N/A
2,Adventure,Comedy,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Crime,Drama,#N/A,#N/A,#N/A
2,Comedy,Drama,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Mystery,Thriller,#N/A,#N/A,#N/A
2,Horror,Comedy,#N/A,#N/A,#N/A
2,Comedy,#N/A,#N/A,#N/A,#N/A
2,Fantasy,Musical,#N/A,#N/A,#N/A
3,Fantasy,Adventure,Family,#N/A,#N/A
3,Crime,Comedy,#N/A,#N/A,#N/A
3,Drama,Mystery,Thriller,#N/A,#N/A
3,Action,Drama,Thriller,War,#N/A
3,Action,Crime,Thriller,#N/A,#N/A
3,Drama,Melodrama/Romance,War,#N/A,#N/A
3,Comedy,#N/A,#N/A,#N/A,#N/A
3,Action,SF,#N/A,#N/A,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
3,Melodrama/Romance,SF,Thriller,#N/A,#N/A
3,Drama,Fantasy,Melodrama/Romance,Thriller,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Mystery,Thriller,Crime,Horror,#N/A
