month,season,genre1,genre2,genre3,genre4,genre5
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Crime,Thriller,#N/A,#N/A,#N/A
1,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Horror,Mystery,Thriller,#N/A,#N/A
1,Winter,Comedy,Family,Drama,#N/A,#N/A
1,Winter,Comedy,Mystery,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Adventure,Comedy,#N/A,#N/A,#N/A
1,Winter,Comedy,War,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Comedy,Drama,Melodrama/Romance,#N/A,#N/A
1,Winter,Adventure,Drama,Fantasy,#N/A,#N/A
1,Winter,Drama,Mystery,Melodrama/Romance,Thriller,#N/A
1,Winter,Comedy,Drama,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Action,Adventure,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Thriller,Drama,#N/A,#N/A,#N/A
1,Winter,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
1,Winter,Family,Comedy,#N/A,#N/A,#N/A
1,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
1,Winter,Action,Drama,#N/A,#N/A,#N/A
1,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
1,Winter,Action,#N/A,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,SF,Action,#N/A,#N/A,#N/A
1,Winter,Comedy,Drama,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Comedy,Melodrama/Romance,Drama,#N/A,#N/A
1,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
1,Winter,Comedy,Crime,Drama,#N/A,#N/A
1,Winter,Comedy,Action,Drama,#N/A,#N/A
1,Winter,Action,Drama,Thriller,#N/A,#N/A
1,Winter,Action,Drama,#N/A,#N/A,#N/A
1,Winter,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
1,Winter,Action,Crime,Thriller,#N/A,#N/A
1,Winter,Adventure,Comedy,Family,Fantasy,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Action,#N/A,#N/A,#N/A,#N/A
1,Winter,Comedy,Family,Adventure,#N/A,#N/A
1,Winter,Action,Drama,War,#N/A,#N/A
1,Winter,Adventure,Drama,#N/A,#N/A,#N/A
1,Winter,Crime,Drama,#N/A,#N/A,#N/A
1,Winter,Drama,War,#N/A,#N/A,#N/A
1,Winter,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
1,Winter,Action,Crime,#N/A,#N/A,#N/A
1,Winter,Action,#N/A,#N/A,#N/A,#N/A
1,Winter,Crime,Drama,#N/A,#N/A,#N/A
1,Winter,Action,SF,Thriller,#N/A,#N/A
1,Winter,Adventure,SF,#N/A,#N/A,#N/A
1,Winter,Suspense,Drama,Melodrama/Romance,#N/A,#N/A
1,Winter,Action,Adventure,Fantasy,SF,#N/A
1,Winter,Comedy,Drama,#N/A,#N/A,#N/A
1,Winter,Action,SF,Thriller,#N/A,#N/A
1,Winter,Action,Adventure,#N/A,#N/A,#N/A
1,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
1,Winter,Horror,Mystery,Thriller,#N/A,#N/A
1,Winter,Action,#N/A,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
1,Winter,Drama,#N/A,#N/A,#N/A,#N/A
1,Winter,Fantasy,Comedy,#N/A,#N/A,#N/A
1,Winter,Crime,Action,#N/A,#N/A,#N/A
1,Winter,Drama,Mystery,SF,Thriller,#N/A
2,Winter,Action,Drama,#N/A,#N/A,#N/A
2,Winter,Fantasy,Adventure,#N/A,#N/A,#N/A
2,Winter,Thriller,Mystery,#N/A,#N/A,#N/A
2,Winter,Action,Drama,#N/A,#N/A,#N/A
2,Winter,Horror,Thriller,#N/A,#N/A,#N/A
2,Winter,Mystery,SF,Thriller,#N/A,#N/A
2,Winter,Crime,Drama,Fantasy,Thriller,#N/A
2,Winter,Crime,#N/A,#N/A,#N/A,#N/A
2,Winter,Drama,Thriller,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,SF,Thriller,#N/A,#N/A
2,Winter,Drama,Thriller,Action,#N/A,#N/A
2,Winter,Action,Adventure,Drama,Thriller,#N/A
2,Winter,Comedy,Melodrama/Romance,#N/A,#N/A,#N/A
2,Winter,Crime,Drama,#N/A,#N/A,#N/A
2,Winter,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
2,Winter,Crime,Drama,#N/A,#N/A,#N/A
2,Winter,Action,Melodrama/Romance,Comedy,#N/A,#N/A
2,Winter,Thriller,Crime,#N/A,#N/A,#N/A
2,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,Drama,#N/A,#N/A,#N/A
2,Winter,Crime,Drama,#N/A,#N/A,#N/A
2,Winter,Action,Crime,Thriller,#N/A,#N/A
2,Winter,Adventure,Drama,Fantasy,#N/A,#N/A
2,Winter,Drama,Comedy,#N/A,#N/A,#N/A
2,Winter,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
2,Winter,Thriller,#N/A,#N/A,#N/A,#N/A
2,Winter,Adventure,Action,#N/A,#N/A,#N/A
2,Winter,Action,Comedy,Fantasy,#N/A,#N/A
2,Winter,Action,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,Adventure,Drama,Melodrama/Romance,#N/A
2,Winter,Drama,Crime,#N/A,#N/A,#N/A
2,Winter,Action,Crime,SF,Thriller,#N/A
2,Winter,Drama,Comedy,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,Thriller,#N/A,#N/A,#N/A
2,Winter,Comedy,Adventure,#N/A,#N/A,#N/A
2,Winter,Drama,Thriller,#N/A,#N/A,#N/A
2,Winter,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
2,Winter,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
2,Winter,SF,Action,Adventure,#N/A,#N/A
2,Winter,SF,Thriller,#N/A,#N/A,#N/A
2,Winter,Crime,Comedy,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,#N/A,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
2,Winter,Drama,Thriller,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,Crime,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Horror,Thriller,#N/A,#N/A,#N/A
2,Winter,Drama,SF,Thriller,#N/A,#N/A
2,Winter,Action,Fantasy,#N/A,#N/A,#N/A
2,Winter,Action,Adventure,Thriller,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Action,Drama,SF,#N/A,#N/A
2,Winter,Adventure,Comedy,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Crime,Drama,#N/A,#N/A,#N/A
2,Winter,Comedy,Drama,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Drama,#N/A,#N/A,#N/A,#N/A
2,Winter,Mystery,Thriller,#N/A,#N/A,#N/A
2,Winter,Horror,Comedy,#N/A,#N/A,#N/A
2,Winter,Comedy,#N/A,#N/A,#N/A,#N/A
2,Winter,Fantasy,Musical,#N/A,#N/A,#N/A
3,Spring,Fantasy,Adventure,Family,#N/A,#N/A
3,Spring,Crime,Comedy,#N/A,#N/A,#N/A
3,Spring,Drama,Mystery,Thriller,#N/A,#N/A
3,Spring,Action,Drama,Thriller,War,#N/A
3,Spring,Action,Crime,Thriller,#N/A,#N/A
3,Spring,Drama,Melodrama/Romance,War,#N/A,#N/A
3,Spring,Comedy,#N/A,#N/A,#N/A,#N/A
3,Spring,Action,SF,#N/A,#N/A,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
3,Spring,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
3,Spring,Melodrama/Romance,SF,Thriller,#N/A,#N/A
3,Spring,Drama,Fantasy,Melodrama/Romance,Thriller,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
3,Spring,Mystery,Thriller,Crime,Horror,#N/A
3,Spring,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Spring,Mystery,#N/A,#N/A,#N/A,#N/A
3,Spring,Comedy,Drama,#N/A,#N/A,#N/A
3,Spring,Crime,Comedy,#N/A,#N/A,#N/A
3,Spring,Action,Fantasy,#N/A,#N/A,#N/A
3,Spring,SF,Action,#N/A,#N/A,#N/A
3,Spring,Drama,SF,Action,Thriller,#N/A
3,Spring,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Spring,Action,Adventure,SF,Thriller,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
3,Spring,Comedy,Horror,Melodrama/Romance,#N/A,#N/A
3,Spring,Mystery,#N/A,#N/A,#N/A,#N/A
3,Spring,Fantasy,Adventure,Action,#N/A,#N/A
3,Spring,Drama,Action,Melodrama/Romance,#N/A,#N/A
3,Spring,Action,Adventure,SF,#N/A,#N/A
3,Spring,Adventure,Drama,Fantasy,#N/A,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
3,Spring,Action,Drama,War,#N/A,#N/A
3,Spring,Thriller,#N/A,#N/A,#N/A,#N/A
3,Spring,Comedy,Drama,#N/A,#N/A,#N/A
3,Spring,Crime,Thriller,#N/A,#N/A,#N/A
3,Spring,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Spring,Action,Crime,SF,Thriller,#N/A
3,Spring,Comedy,#N/A,#N/A,#N/A,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
3,Spring,SF,Action,#N/A,#N/A,#N/A
3,Spring,Action,Adventure,Fantasy,SF,#N/A
3,Spring,Adventure,Fantasy,#N/A,#N/A,#N/A
3,Spring,Action,Crime,Thriller,#N/A,#N/A
3,Spring,Thriller,#N/A,#N/A,#N/A,#N/A
3,Spring,Fantasy,Musical,Melodrama/Romance,#N/A,#N/A
3,Spring,Crime,Action,#N/A,#N/A,#N/A
3,Spring,Action,SF,#N/A,#N/A,#N/A
3,Spring,Action,Adventure,Fantasy,SF,#N/A
3,Spring,Thriller,#N/A,#N/A,#N/A,#N/A
3,Spring,SF,Crime,Action,#N/A,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
3,Spring,Crime,#N/A,#N/A,#N/A,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
3,Spring,Horror,Mystery,#N/A,#N/A,#N/A
3,Spring,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Spring,Action,SF,Adventure,#N/A,#N/A
3,Spring,Thriller,#N/A,#N/A,#N/A,#N/A
3,Spring,Action,Adventure,SF,#N/A,#N/A
3,Spring,Action,Adventure,#N/A,#N/A,#N/A
3,Spring,Thriller,Drama,#N/A,#N/A,#N/A
3,Spring,Melodrama/Romance,Thriller,#N/A,#N/A,#N/A
3,Spring,Action,Adventure,SF,#N/A,#N/A
3,Spring,Crime,#N/A,#N/A,#N/A,#N/A
3,Spring,Thriller,Horror,#N/A,#N/A,#N/A
3,Spring,Action,Horror,Thriller,#N/A,#N/A
3,Spring,Family,Fantasy,#N/A,#N/A,#N/A
3,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,SF,Adventure,Action,#N/A,#N/A
4,Spring,Fantasy,Action,Adventure,Drama,#N/A
4,Spring,Drama,Action,#N/A,#N/A,#N/A
4,Spring,Mystery,#N/A,#N/A,#N/A,#N/A
4,Spring,Comedy,Crime,Thriller,#N/A,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Fantasy,Action,Adventure,Drama,#N/A
4,Spring,Action,Crime,Drama,Thriller,#N/A
4,Spring,Comedy,Drama,#N/A,#N/A,#N/A
4,Spring,Drama,Family,#N/A,#N/A,#N/A
4,Spring,Drama,Comedy,#N/A,#N/A,#N/A
4,Spring,Action,SF,Adventure,#N/A,#N/A
4,Spring,Action,War,SF,#N/A,#N/A
4,Spring,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
4,Spring,Thriller,Comedy,#N/A,#N/A,#N/A
4,Spring,Fantasy,Action,Drama,#N/A,#N/A
4,Spring,SF,Adventure,Action,#N/A,#N/A
4,Spring,Action,Drama,#N/A,#N/A,#N/A
4,Spring,Action,SF,#N/A,#N/A,#N/A
4,Spring,Action,Comedy,#N/A,#N/A,#N/A
4,Spring,Action,Adventure,Fantasy,#N/A,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Action,Drama,#N/A,#N/A,#N/A
4,Spring,Thriller,Crime,#N/A,#N/A,#N/A
4,Spring,SF,Action,Fantasy,Melodrama/Romance,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Action,Thriller,Crime,Drama,#N/A
4,Spring,Action,Adventure,Fantasy,SF,#N/A
4,Spring,Action,Crime,Thriller,#N/A,#N/A
4,Spring,Crime,Drama,#N/A,#N/A,#N/A
4,Spring,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
4,Spring,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
4,Spring,Action,SF,Thriller,#N/A,#N/A
4,Spring,Thriller,#N/A,#N/A,#N/A,#N/A
4,Spring,Mystery,Thriller,#N/A,#N/A,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Action,Adventure,Drama,Fantasy,#N/A
4,Spring,Mystery,Thriller,#N/A,#N/A,#N/A
4,Spring,Comedy,Drama,#N/A,#N/A,#N/A
4,Spring,Action,Crime,Thriller,#N/A,#N/A
4,Spring,Comedy,Adventure,Action,#N/A,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Comedy,Drama,#N/A,#N/A,#N/A
4,Spring,SF,Thriller,#N/A,#N/A,#N/A
4,Spring,Action,Adventure,Fantasy,SF,#N/A
4,Spring,Action,Adventure,#N/A,#N/A,#N/A
4,Spring,Comedy,#N/A,#N/A,#N/A,#N/A
4,Spring,Suspense,Horror,#N/A,#N/A,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Action,SF,#N/A,#N/A,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Action,Fantasy,SF,#N/A,#N/A
4,Spring,Action,Adventure,Fantasy,SF,#N/A
4,Spring,Drama,#N/A,#N/A,#N/A,#N/A
4,Spring,Horror,Mystery,Thriller,#N/A,#N/A
5,Spring,Thriller,#N/A,#N/A,#N/A,#N/A
5,Spring,Action,Adventure,Fantasy,Melodrama/Romance,#N/A
5,Spring,Action,Drama,#N/A,#N/A,#N/A
5,Spring,Drama,Action,#N/A,#N/A,#N/A
5,Spring,Comedy,Drama,#N/A,#N/A,#N/A
5,Spring,Fantasy,Action,Adventure,#N/A,#N/A
5,Spring,Action,SF,Thriller,#N/A,#N/A
5,Spring,Comedy,#N/A,#N/A,#N/A,#N/A
5,Spring,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
5,Spring,Action,Comedy,SF,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Comedy,#N/A,#N/A,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Horror,Thriller,#N/A,#N/A,#N/A
5,Spring,Fantasy,Action,Adventure,#N/A,#N/A
5,Spring,Drama,Fantasy,Comedy,#N/A,#N/A
5,Spring,Melodrama/Romance,Horror,Comedy,#N/A,#N/A
5,Spring,Thriller,Drama,#N/A,#N/A,#N/A
5,Spring,Action,Adventure,Crime,#N/A,#N/A
5,Spring,Action,Adventure,SF,#N/A,#N/A
5,Spring,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Comedy,#N/A,#N/A,#N/A,#N/A
5,Spring,SF,Action,Adventure,#N/A,#N/A
5,Spring,Drama,Comedy,#N/A,#N/A,#N/A
5,Spring,SF,Adventure,Action,Fantasy,#N/A
5,Spring,Crime,Action,#N/A,#N/A,#N/A
5,Spring,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
5,Spring,Fantasy,Adventure,Drama,#N/A,#N/A
5,Spring,Action,#N/A,#N/A,#N/A,#N/A
5,Spring,Action,Drama,SF,Thriller,#N/A
5,Spring,Mystery,Horror,Thriller,#N/A,#N/A
5,Spring,Action,Adventure,Thriller,#N/A,#N/A
5,Spring,Comedy,Action,#N/A,#N/A,#N/A
5,Spring,Crime,Thriller,#N/A,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
5,Spring,Adventure,Mystery,SF,#N/A,#N/A
5,Spring,Horror,Thriller,#N/A,#N/A,#N/A
5,Spring,Mystery,Thriller,Drama,#N/A,#N/A
5,Spring,Action,Adventure,Fantasy,SF,#N/A
5,Spring,Drama,Action,#N/A,#N/A,#N/A
5,Spring,Drama,Family,#N/A,#N/A,#N/A
5,Spring,Action,Adventure,Comedy,Fantasy,#N/A
5,Spring,Action,SF,#N/A,#N/A,#N/A
5,Spring,Crime,Comedy,#N/A,#N/A,#N/A
5,Spring,Action,Adventure,Fantasy,SF,#N/A
5,Spring,Mystery,Horror,Thriller,Drama,#N/A
5,Spring,Documentary,#N/A,#N/A,#N/A,#N/A
5,Spring,SF,Thriller,Horror,#N/A,#N/A
5,Spring,Crime,Action,Drama,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Action,Adventure,Drama,Fantasy,#N/A
5,Spring,Thriller,Suspense,#N/A,#N/A,#N/A
5,Spring,Crime,Action,#N/A,#N/A,#N/A
5,Spring,Action,Adventure,Comedy,SF,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Drama,Comedy,#N/A,#N/A,#N/A
5,Spring,Mystery,#N/A,#N/A,#N/A,#N/A
5,Spring,Horror,Thriller,#N/A,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Crime,Action,#N/A,#N/A,#N/A
5,Spring,Comedy,Action,#N/A,#N/A,#N/A
5,Spring,Drama,Comedy,#N/A,#N/A,#N/A
5,Spring,Action,Adventure,Comedy,#N/A,#N/A
5,Spring,Action,Adventure,SF,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
5,Spring,Drama,#N/A,#N/A,#N/A,#N/A
6,Summer,War,Drama,#N/A,#N/A,#N/A
6,Summer,Drama,#N/A,#N/A,#N/A,#N/A
6,Summer,Action,Comedy,#N/A,#N/A,#N/A
6,Summer,Action,Adventure,Thriller,#N/A,#N/A
6,Summer,Comedy,Drama,Melodrama/Romance,#N/A,#N/A
6,Summer,Drama,#N/A,#N/A,#N/A,#N/A
6,Summer,Action,Drama,Family,#N/A,#N/A
6,Summer,Thriller,Action,Drama,#N/A,#N/A
6,Summer,SF,Action,Adventure,#N/A,#N/A
6,Summer,Horror,Mystery,#N/A,#N/A,#N/A
6,Summer,Drama,#N/A,#N/A,#N/A,#N/A
6,Summer,Mystery,SF,Thriller,#N/A,#N/A
6,Summer,Drama,Thriller,#N/A,#N/A,#N/A
6,Summer,Crime,Drama,Thriller,#N/A,#N/A
