"","Var1","Freq"
"1","1",315
"2","2",172
"3","3",165
"4","4",62
"5","5",38
"6","6",128
"7","7",48
"8","8",25
"9","9",18
"10","10",31
"11","11",30
"12","12",23
"13","13",41
"14","14",52
"15","15",4
"16","16",16
"17","17",6
"18","18",14
"19","19",21
"20","20",2
"21","22",1088
"22","99",1
"23","2",93
"24","3",63
"25","4",57
"26","5",37
"27","6",109
"28","7",119
"29","8",59
"30","9",46
"31","10",48
"32","11",45
"33","12",39
"34","13",18
"35","14",63
"36","15",15
"37","16",7
"38","17",16
"39","18",18
"40","19",26
"41","20",11
"42","3",15
"43","4",7
"44","5",19
"45","6",36
"46","7",42
"47","8",49
"48","9",32
"49","10",25
"50","11",46
"51","12",44
"52","13",28
"53","14",33
"54","15",9
"55","16",5
"56","17",8
"57","18",12
"58","19",11
"59","20",6
"60","4",6
"61","5",1
"62","6",6
"63","7",18
"64","8",16
"65","9",25
"66","10",7
"67","11",20
"68","12",25
"69","13",9
"70","14",38
"71","15",3
"72","16",12
"73","17",4
"74","18",7
"75","19",12
"76","20",5
"77","5",4
"78","7",4
"79","8",6
"80","9",5
"81","10",7
"82","11",8
"83","12",18
"84","13",8
"85","14",9
"86","15",7
"87","16",3
"88","17",2
"89","18",19
"90","19",12
"91","20",7
"92","6",3
"93","8",3
"94","9",1
"95","11",3
"96","12",6
"97","13",4
"98","14",12
"99","15",4
"100","17",4
"101","18",2
"102","19",5
"103","20",8
"104","7",3
"105","10",1
"106","13",3
"107","14",2
"108","15",3
"109","17",1
"110","18",4
"111","19",1
"112","20",2
"113","8",3
"114","11",1
"115","14",2
"116","17",1
"117","18",1
"118","19",3
"119","9",2
"120","12",1
"121","17",1
"122","19",2
"123","20",3
"124","10",1
"125","14",1
"126","17",1
"127","19",1
"128","20",2
"129","11",1
"130","18",1
"131","12",1
"132","13",1
"133","14",1
"134","15",1
"135","19",1
"136","20",1
