year,group,mean
2014,Æò±Õ,34.6
2014,°í·ÉÃþ,23.4
2014,Àå¾ÖÀÎ,45
2014,Àú¼ÒµæÃþ,66.8
2014,³ó¾î¹Î,40.7
2015,Æò±Õ,37.4
2015,°í·ÉÃþ,29.6
2015,Àå¾ÖÀÎ,47
2015,Àú¼ÒµæÃþ,67.2
2015,³ó¾î¹Î,41.2
2016,Æò±Õ,45.2
2016,°í·ÉÃþ,34.9
2016,Àå¾ÖÀÎ,49.8
2016,Àú¼ÒµæÃþ,69.1
2016,³ó¾î¹Î,46.2
2017,Æò±Õ,51.9
2017,°í·ÉÃþ,41
2017,Àå¾ÖÀÎ,57.7
2017,Àú¼ÒµæÃþ,78.5
2017,³ó¾î¹Î,53.4
2018,Æò±Õ,59.1
2018,°í·ÉÃþ,50
2018,Àå¾ÖÀÎ,66.9
2018,Àú¼ÒµæÃþ,85.3
2018,³ó¾î¹Î,63
2019,Æò±Õ,60.2
2019,°í·ÉÃþ,51.6
2019,Àå¾ÖÀÎ,67.8
2019,Àú¼ÒµæÃþ,86.5
2019,³ó¾î¹Î,63.6
