year,group,mean
2014,Æò±Õ,72.3
2014,°í·ÉÃþ,67.3
2014,Àå¾ÖÀÎ,79.9
2014,Àú¼ÒµæÃþ,82.2
2014,³ó¾î¹Î,68.1
2015,Æò±Õ,73.7
2015,°í·ÉÃþ,68.5
2015,Àå¾ÖÀÎ,83.5
2015,Àú¼ÒµæÃþ,87.8
2015,³ó¾î¹Î,73.4
2016,Æò±Õ,84.5
2016,°í·ÉÃþ,82.5
2016,Àå¾ÖÀÎ,88.1
2016,Àú¼ÒµæÃþ,89.2
2016,³ó¾î¹Î,84.8
2017,Æò±Õ,91
2017,°í·ÉÃþ,89.9
2017,Àå¾ÖÀÎ,91.6
2017,Àú¼ÒµæÃþ,94.7
2017,³ó¾î¹Î,90.4
2018,Æò±Õ,91.1
2018,°í·ÉÃþ,90.1
2018,Àå¾ÖÀÎ,92
2018,Àú¼ÒµæÃþ,94.9
2018,³ó¾î¹Î,91
2019,Æò±Õ,91.7
2019,°í·ÉÃþ,90.6
2019,Àå¾ÖÀÎ,92.6
2019,Àú¼ÒµæÃþ,95.2
2019,³ó¾î¹Î,91.3
