year,group,mean
2014,Æò±Õ,50.1
2014,°í·ÉÃþ,42.4
2014,Àå¾ÖÀÎ,60.2
2014,Àú¼ÒµæÃþ,72.5
2014,³ó¾î¹Î,51.4
2015,Æò±Õ,52.4
2015,°í·ÉÃþ,45.6
2015,Àå¾ÖÀÎ,62.5
2015,Àú¼ÒµæÃþ,74.5
2015,³ó¾î¹Î,55.2
2016,Æò±Õ,58.6
2016,°í·ÉÃþ,54
2016,Àå¾ÖÀÎ,65.4
2016,Àú¼ÒµæÃþ,77.3
2016,³ó¾î¹Î,61.1
2017,Æò±Õ,65.1
2017,°í·ÉÃþ,58.3
2017,Àå¾ÖÀÎ,70
2017,Àú¼ÒµæÃþ,81.4
2017,³ó¾î¹Î,64.8
2018,Æò±Õ,68.9
2018,°í·ÉÃþ,63.1
2018,Àå¾ÖÀÎ,74.6
2018,Àú¼ÒµæÃþ,86.8
2018,³ó¾î¹Î,69.8
2019,Æò±Õ,69.9
2019,°í·ÉÃþ,64.3
2019,Àå¾ÖÀÎ,75.2
2019,Àú¼ÒµæÃþ,87.8
2019,³ó¾î¹Î,70.6
