year,group,mean
2014,Æò±Õ,47.7
2014,°í·ÉÃþ,39.7
2014,Àå¾ÖÀÎ,59.7
2014,Àú¼ÒµæÃþ,70.3
2014,³ó¾î¹Î,48.6
2015,Æò±Õ,51.6
2015,°í·ÉÃþ,44.9
2015,Àå¾ÖÀÎ,62.4
2015,Àú¼ÒµæÃþ,71.5
2015,³ó¾î¹Î,55.5
2016,Æò±Õ,59
2016,°í·ÉÃþ,52.2
2016,Àå¾ÖÀÎ,64.6
2016,Àú¼ÒµæÃþ,76.9
2016,³ó¾î¹Î,59
2017,Æò±Õ,65.3
2017,°í·ÉÃþ,59.9
2017,Àå¾ÖÀÎ,71.5
2017,Àú¼ÒµæÃþ,77.7
2017,³ó¾î¹Î,63.3
2018,Æò±Õ,67.7
2018,°í·ÉÃþ,62.8
2018,Àå¾ÖÀÎ,73.6
2018,Àú¼ÒµæÃþ,84.3
2018,³ó¾î¹Î,65.9
2019,Æò±Õ,68.8
2019,°í·ÉÃþ,63.9
2019,Àå¾ÖÀÎ,74
2019,Àú¼ÒµæÃþ,85.4
2019,³ó¾î¹Î,67.2
